_,Nafn,Skor
_,Alex Daði Reynisson,0
_,Sigurður Jónsson,0
_,Óskar Marínó,0
_,Axel Guðni Sigurðsson,0
_,Ægir Björn Gunnsteinsson,0
_,Ingimar Jónsson,0
_,Garðar Karl Ólafsson,0
_,Eggert Ólafsson,0
_,Benjamín Eiríksson,0
_,Hallgerður María Friðriksdóttir,8:26
_,Jóhanna Júlía Júlíusdóttir,8:16
_,Guðbjörg Valdimarsdóttir,8:45
_,Birta Líf Þórarinsdóttir,9:06
_,Bryndís María Björnsdóttir,8:45
_,Sigríður Sjöfn Ingvarsdóttir,9:57
_,Guðrún Bjarnadóttir,11:23
_,Sólrún Sigþórsdóttir,9:24
_,Ingibjörg Malmquist,10:12
_,Dísa Edwards,10:47
_,Ingvar Svavarsson,6:43
_,Stefán Helgi Einarsson,6:31
_,Heiðar Heiðarsson,0
_,Hörður Orri Grettisson,7:26
_,Daði Heimisson,8:24
_,Kristján Guðjónsson,8:22
_,Alma Káradóttir,5:29
_,Hildur Guðný Káradóttir,8:06
_,Bjarný Þorvarðardóttir,8:05
_,Erla Júlía Jónsdóttir,8:56
_,Kristín Sif Björgvinsdóttir,7:37
_,Guðjón Ólafsson,6:09
_,Vignir Bjarnason,8:12
_,Anna Svavarsdóttir,6:50
_,Erla Guðmundsdóttir,6:35
_,Rakel Tryggvadóttir,8:04
_,Andrea Ósk Guðlaugsdóttir,8:09
_,Sigrún Nanna Karlsdóttir,8:01
_,Ægir Reynisson,5:38
_,Evert Víglundsson,7:22
_,Elías Árni Jónsson,6:44
_,Magnús Gíslason,7:51
_,Sigtryggur Símonarson,8:09
_,Steinar Sigurðarson,7:41
_,Helga Guðmundsdóttir,8:14
_,E. Linda Helgadóttir,8:04
_,Guðjón Arinbjörnsson,5:04
_,Sæmundur Árnason,6:25
_,Heiðar Örn sverrisson,7:52
_,Ingibjörg Gísladóttir,5:24
_,Kristín Kristjánsdóttir,3:30
_,Ingibjörg Jónsdóttir,4:54
_,Hrönn Birgisdóttir,4:34
_,Jóhanna Jóhannsdóttir,6:43
_,Gísli Hjartarson,7:59
_,Eggert Marínósson,7:05
_,Andrés Thor Hinriksson,5:55
_,Örn V. Arnarson,8:01
_,Elín Sveinsdóttir,0
_,Jón Þorri Jónsson,4:28
_,Haukur Rafn Sigurðsson,4:56
_,Aron Leó Jóhannson,0
_,Bergrós Björnsdóttir,2:35
_,Emilía Nótt Davíðsdóttir,5:07
_,Hulda Finnbogadóttir,4:48
_,Ísabella Ýr Pétursdóttir,0
_,Tindur Elíasen,6:18
_,Þórbergur Hlynsson,0
_,Aðalsteinn Þorsteinsson,8:23
_,Ari Tómas Hjálmarsson,6:02
_,Tryggvi Freyr Magnússon,8:13
_,Almar Daði Harðarson,0
_,Þórkatla Ýr Friðriksdóttir,6:25
_,Úlfhildur Unnarsdóttir,7:53
_,Thelma Ósk Björgvinsdóttir,8:02
_,Salka Katrínsdóttir,8:20
_,Elísa Mist Benediktsdóttir,7:57
_,Steinunn Soffía Hauksdóttir,8:09
_,Anja Karlsdóttir,8:33
