_,Nafn,Skor
_,Alex Daði Reynisson,2:13
_,Sigurður Jónsson,3:11
_,Óskar Marínó,3:20
_,Axel Guðni Sigurðsson,3:47
_,Ægir Björn Gunnsteinsson,3:09
_,Ingimar Jónsson,3:23
_,Garðar Karl Ólafsson,3:31
_,Eggert Ólafsson,2:37
_,Benjamín Eiríksson,3:55
_,Hallgerður María Friðriksdóttir,2:59
_,Jóhanna Júlía Júlíusdóttir,3:31
_,Guðbjörg Valdimarsdóttir,2:54
_,Birta Líf Þórarinsdóttir,3:09
_,Bryndís María Björnsdóttir,4:33
_,Sigríður Sjöfn Ingvarsdóttir,4:05
_,Guðrún Bjarnadóttir,3:36
_,Sólrún Sigþórsdóttir,5:27
_,Ingibjörg Malmquist,4:03
_,Dísa Edwards,4:56
_,Ingvar Svavarsson,11:22
_,Stefán Helgi Einarsson,9:46
_,Heiðar Heiðarsson,10:50
_,Hörður Orri Grettisson,12:12
_,Daði Heimisson,13:21
_,Kristján Guðjónsson,13:19
_,Alma Káradóttir,9:57
_,Hildur Guðný Káradóttir,14:17
_,Bjarný Þorvarðardóttir,15:16
_,Erla Júlía Jónsdóttir,15:14
_,Kristín Sif Björgvinsdóttir,13:30
_,Guðjón Ólafsson,12:17
_,Vignir Bjarnason,17:36
_,Anna Svavarsdóttir,10:31
_,Erla Guðmundsdóttir,11:28
_,Rakel Tryggvadóttir,15:16
_,Andrea Ósk Guðlaugsdóttir,15:52
_,Sigrún Nanna Karlsdóttir,15:45
_,Ægir Reynisson,12:23
_,Evert Víglundsson,13:01
_,Elías Árni Jónsson,13:37
_,Magnús Gíslason,15:18
_,Sigtryggur Símonarson,16:34
_,Steinar Sigurðarson,16:26
_,Helga Guðmundsdóttir,11:42
_,E. Linda Helgadóttir,12:56
_,Guðjón Arinbjörnsson,16:06
_,Sæmundur Árnason,13:28
_,Heiðar Örn sverrisson,12:38
_,Ingibjörg Gísladóttir,7:42
_,Kristín Kristjánsdóttir,7:36
_,Ingibjörg Jónsdóttir,10:23
_,Hrönn Birgisdóttir,11:45
_,Jóhanna Jóhannsdóttir,16:15
_,Gísli Hjartarson,15:45
_,Eggert Marínósson,16:14
_,Andrés Thor Hinriksson,10:03
_,Örn V. Arnarson,13:27
_,Elín Sveinsdóttir,7:48
_,Jón Þorri Jónsson,8:17
_,Haukur Rafn Sigurðsson,10.11
_,Aron Leó Jóhannson,13:14
_,Bergrós Björnsdóttir,7:51
_,Emilía Nótt Davíðsdóttir,13:57
_,Hulda Finnbogadóttir,15:16
_,Ísabella Ýr Pétursdóttir,59:59
_,Tindur Elíasen,11:16
_,Þórbergur Hlynsson,15:53
_,Aðalsteinn Þorsteinsson,11:22
_,Ari Tómas Hjálmarsson,13:49
_,Tryggvi Freyr Magnússon,13:45
_,Almar Daði Harðarson,16:36
_,Þórkatla Ýr Friðriksdóttir,10:52
_,Úlfhildur Unnarsdóttir,13:39
_,Thelma Ósk Björgvinsdóttir,13:15
_,Salka Katrínsdóttir,15:21
_,Elísa Mist Benediktsdóttir,14:39
_,Steinunn Soffía Hauksdóttir,16:19
_,Anja Karlsdóttir,16:19
