_,Nafn,Skor
_,Alex Daði Reynisson,1
_,Sigurður Jónsson,3
_,Óskar Marínó,8
_,Axel Guðni Sigurðsson,6
_,Ægir Björn Gunnsteinsson,8
_,Ingimar Jónsson,5
_,Garðar Karl Ólafsson,2
_,Eggert Ólafsson,7
_,Benjamín Eiríksson,4
_,Hallgerður María Friðriksdóttir,2
_,Jóhanna Júlía Júlíusdóttir,9
_,Guðbjörg Valdimarsdóttir,1
_,Birta Líf Þórarinsdóttir,5
_,Bryndís María Björnsdóttir,2
_,Sigríður Sjöfn Ingvarsdóttir,8
_,Guðrún Bjarnadóttir,4
_,Sólrún Sigþórsdóttir,10
_,Ingibjörg Malmquist,6
_,Dísa Edwards,7
_,Ingvar Svavarsson,5:21
_,Stefán Helgi Einarsson,4:31
_,Heiðar Heiðarsson,0
_,Hörður Orri Grettisson,6:42
_,Daði Heimisson,8:06
_,Kristján Guðjónsson,7:23
_,Alma Káradóttir,5:53
_,Hildur Guðný Káradóttir,8:18
_,Bjarný Þorvarðardóttir,8:13
_,Erla Júlía Jónsdóttir,8:42
_,Kristín Sif Björgvinsdóttir,8:35
_,Guðjón Ólafsson,4:33
_,Vignir Bjarnason,8:42
_,Anna Svavarsdóttir,5:22
_,Erla Guðmundsdóttir,6:53
_,Rakel Tryggvadóttir,8:31
_,Andrea Ósk Guðlaugsdóttir,8:04
_,Sigrún Nanna Karlsdóttir,8:42
_,Ægir Reynisson,4:50
_,Evert Víglundsson,5:45
_,Elías Árni Jónsson,8:08
_,Magnús Gíslason,7:07
_,Sigtryggur Símonarson,8:39
_,Steinar Sigurðarson,8:15
_,Helga Guðmundsdóttir,8:04
_,E. Linda Helgadóttir,8:19
_,Guðjón Arinbjörnsson,8:02
_,Sæmundur Árnason,8:35
_,Heiðar Örn sverrisson,8:34
_,Ingibjörg Gísladóttir,2:58
_,Kristín Kristjánsdóttir,2:34
_,Ingibjörg Jónsdóttir,3:31
_,Hrönn Birgisdóttir,2:53
_,Jóhanna Jóhannsdóttir,4:29
_,Gísli Hjartarson,7:45
_,Eggert Marínósson,8:07
_,Andrés Thor Hinriksson,4:12
_,Örn V. Arnarson,7:36
_,Elín Sveinsdóttir,0
_,Jón Þorri Jónsson,6:03
_,Haukur Rafn Sigurðsson,6:26
_,Aron Leó Jóhannson,0
_,Bergrós Björnsdóttir,1:44
_,Emilía Nótt Davíðsdóttir,3:30
_,Hulda Finnbogadóttir,4:07
_,Ísabella Ýr Pétursdóttir,0
_,Tindur Elíasen,4:53
_,Þórbergur Hlynsson,0
_,Aðalsteinn Þorsteinsson,6:25
_,Ari Tómas Hjálmarsson,5:31
_,Tryggvi Freyr Magnússon,7:10
_,Almar Daði Harðarson,0
_,Þórkatla Ýr Friðriksdóttir,6:17
_,Úlfhildur Unnarsdóttir,6:48
_,Thelma Ósk Björgvinsdóttir,8:06
_,Salka Katrínsdóttir,8:38
_,Elísa Mist Benediktsdóttir,8:42
_,Steinunn Soffía Hauksdóttir,7:50
_,Anja Karlsdóttir,8:42
