_,Nafn,Skor
_,Alex Daði Reynisson,5:31
_,Sigurður Jónsson,5:15
_,Óskar Marínó,5:41
_,Axel Guðni Sigurðsson,5:30
_,Ægir Björn Gunnsteinsson,5:19
_,Ingimar Jónsson,5:30
_,Garðar Karl Ólafsson,6:12
_,Eggert Ólafsson,5:23
_,Benjamín Eiríksson,5:57
_,Hallgerður María Friðriksdóttir,6:46
_,Jóhanna Júlía Júlíusdóttir,5:25
_,Guðbjörg Valdimarsdóttir,6:24
_,Birta Líf Þórarinsdóttir,6:07
_,Bryndís María Björnsdóttir,6:03
_,Sigríður Sjöfn Ingvarsdóttir,8:03
_,Guðrún Bjarnadóttir,8:34
_,Sólrún Sigþórsdóttir,7:40
_,Ingibjörg Malmquist,6:41
_,Dísa Edwards,8:16
_,Ingvar Svavarsson,3:01
_,Stefán Helgi Einarsson,3:25
_,Heiðar Heiðarsson,3:17
_,Hörður Orri Grettisson,3:18
_,Daði Heimisson,3:40
_,Kristján Guðjónsson,3:06
_,Alma Káradóttir,3:26
_,Hildur Guðný Káradóttir,3:54
_,Bjarný Þorvarðardóttir,4:11
_,Erla Júlía Jónsdóttir,4:26
_,Kristín Sif Björgvinsdóttir,3:52
_,Guðjón Ólafsson,3:13
_,Vignir Bjarnason,4:35
_,Anna Svavarsdóttir,3:42
_,Erla Guðmundsdóttir,3:47
_,Rakel Tryggvadóttir,4:06
_,Andrea Ósk Guðlaugsdóttir,4:40
_,Sigrún Nanna Karlsdóttir,3:55
_,Ægir Reynisson,3:15
_,Evert Víglundsson,3:23
_,Elías Árni Jónsson,3:20
_,Magnús Gíslason,3:17
_,Sigtryggur Símonarson,3:32
_,Steinar Sigurðarson,3:43
_,Helga Guðmundsdóttir,3:43
_,E. Linda Helgadóttir,4:06
_,Guðjón Arinbjörnsson,3:59
_,Sæmundur Árnason,4.27
_,Heiðar Örn sverrisson,4:19
_,Ingibjörg Gísladóttir,2:46
_,Kristín Kristjánsdóttir,2:51
_,Ingibjörg Jónsdóttir,2:50
_,Hrönn Birgisdóttir,2:55
_,Jóhanna Jóhannsdóttir,2:57
_,Gísli Hjartarson,3:54
_,Eggert Marínósson,4:19
_,Andrés Thor Hinriksson,4:33
_,Örn V. Arnarson,3:45
_,Elín Sveinsdóttir,3:35
_,Jón Þorri Jónsson,3:39
_,Haukur Rafn Sigurðsson,3:14
_,Aron Leó Jóhannson,3:52
_,Bergrós Björnsdóttir,3:22
_,Emilía Nótt Davíðsdóttir,4:18
_,Hulda Finnbogadóttir,3:54
_,Ísabella Ýr Pétursdóttir,6:21
_,Tindur Elíasen,3:11
_,Þórbergur Hlynsson,3:01
_,Aðalsteinn Þorsteinsson,3:17
_,Ari Tómas Hjálmarsson,3:12
_,Tryggvi Freyr Magnússon,3:33
_,Almar Daði Harðarson,3:55
_,Þórkatla Ýr Friðriksdóttir,3:38
_,Úlfhildur Unnarsdóttir,3:39
_,Thelma Ósk Björgvinsdóttir,3:33
_,Salka Katrínsdóttir,3:45
_,Elísa Mist Benediktsdóttir,4:03
_,Steinunn Soffía Hauksdóttir,4:14
_,Anja Karlsdóttir,5:05
